City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
79,kirakira,-10.4544,161.9205,28.03,81,88,3.26,SB,2023-04-03
80,albany,42.6001,-73.9662,-1.93,58,26,1.05,US,2023-04-03
81,chepareria,1.3077,35.2039,22.37,60,88,0.99,KE,2023-04-03
82,esperance,-33.8667,121.9,22.23,61,81,3.92,AU,2023-04-03
83,la libertad,-2.2333,-80.9,26.45,80,100,0.84,EC,2023-04-03
84,acapulco,16.8634,-99.8901,24.9,73,0,1.03,MX,2023-04-03
85,poya,-21.35,165.15,26.74,82,100,3.06,NC,2023-04-03
86,mataura,-46.1927,168.8643,14.71,68,100,0.35,NZ,2023-04-03
87,moose factory,51.2585,-80.6094,-15.0,78,100,4.12,CA,2023-04-03
88,upernavik,72.7868,-56.1549,-29.23,97,51,2.01,GL,2023-04-03
89,muros,42.7762,-9.0603,8.24,81,100,2.22,ES,2023-04-03
90,teguldet,57.3064,88.1667,1.09,72,100,5.47,RU,2023-04-03
91,ayorou,14.7308,0.9174,25.75,9,100,3.66,NE,2023-04-03
92,ponta do sol,32.6667,-17.1,18.17,83,88,2.45,PT,2023-04-03
93,kieta,-6.2167,155.6333,27.9,79,100,1.5,PG,2023-04-03
94,hasaki,35.7333,140.8333,15.22,52,3,8.94,JP,2023-04-03
95,zhaozhou,45.6833,125.3167,7.92,35,100,3.67,CN,2023-04-03
96,mindelo,16.8901,-24.9804,21.75,78,20,2.57,CV,2023-04-03
97,gualeguay,-33.1416,-59.3097,15.51,92,69,2.57,AR,2023-04-03
98,clyde river,70.4692,-68.5914,-25.87,76,0,2.57,CA,2023-04-03
99,kruisfontein,-34.0033,24.7314,21.05,70,32,8.72,ZA,2023-04-03
100,san vicente,-26.6167,-54.1333,12.82,47,0,1.06,AR,2023-04-03
101,pangai,-19.8,-174.35,26.46,64,74,4.93,TO,2023-04-03
102,sioux lookout,50.1001,-91.917,-6.96,86,100,3.6,CA,2023-04-03
103,howard springs,-12.497,131.047,30.95,74,100,2.85,AU,2023-04-03
104,iqaluit,63.7506,-68.5145,-14.15,51,75,3.6,CA,2023-04-03
105,berlevag,70.8578,29.0864,-2.0,74,100,11.37,NO,2023-04-03
106,mar del plata,-38.0023,-57.5575,15.53,79,11,0.89,AR,2023-04-03
107,muli,2.9167,73.5667,28.1,71,4,2.56,MV,2023-04-03
108,visby,57.6409,18.296,2.8,75,20,5.66,SE,2023-04-03
109,crotone,39.0851,17.1178,11.77,100,100,7.2,IT,2023-04-03
110,torbay,47.6666,-52.7314,-0.34,82,75,7.2,CA,2023-04-03
111,takapau,-40.0333,176.35,10.96,96,91,1.86,NZ,2023-04-03
112,barrow,71.2906,-156.7887,-15.99,85,100,5.66,US,2023-04-03
113,male,4.1748,73.5089,31.97,66,20,3.09,MV,2023-04-03
114,norman wells,65.282,-126.8329,-11.98,72,75,2.57,CA,2023-04-03
115,dingle,10.9995,122.6711,31.89,50,98,5.64,PH,2023-04-03
116,severo-kurilsk,50.6789,156.125,0.77,88,71,7.11,RU,2023-04-03
117,rincon,32.296,-81.2354,18.25,91,0,0.0,US,2023-04-03
118,periyapatti,10.75,77.2667,34.56,35,6,1.14,IN,2023-04-03
119,kenai,60.5544,-151.2583,-2.97,68,0,0.0,US,2023-04-03
120,bilibino,68.0546,166.4372,-25.1,94,11,1.24,RU,2023-04-03
121,tura,25.5198,90.2201,27.98,42,70,3.11,IN,2023-04-03
122,inhambane,-23.865,35.3833,27.99,65,40,1.95,MZ,2023-04-03
123,leer,53.2316,7.461,4.52,83,5,4.1,DE,2023-04-03
124,bonga,7.2833,36.2333,25.5,39,16,0.47,ET,2023-04-03
125,vytegra,61.0064,36.4481,-1.14,93,100,5.5,RU,2023-04-03
126,cozumel,20.5083,-86.9458,24.04,88,0,0.0,MX,2023-04-03
127,grindavik,63.8424,-22.4338,7.26,93,100,11.32,IS,2023-04-03
128,bengkulu,-3.8004,102.2655,27.92,73,100,3.94,ID,2023-04-03
129,gwadar,25.1216,62.3254,26.42,51,0,8.68,PK,2023-04-03
130,ancud,-41.8697,-73.8203,8.66,81,0,1.46,CL,2023-04-03
131,barcelos,41.5388,-8.6151,9.91,56,100,1.96,PT,2023-04-03
132,maningrida,-12.0667,134.2667,31.12,58,100,3.83,AU,2023-04-03
133,ahipara,-35.1667,173.1667,16.25,63,3,4.96,NZ,2023-04-03
134,kahului,20.8947,-156.47,23.8,85,0,7.2,US,2023-04-03
135,fortuna,40.5982,-124.1573,5.37,90,73,3.27,US,2023-04-03
136,srednekolymsk,67.45,153.6833,-14.46,84,21,3.24,RU,2023-04-03
137,iisalmi,63.5592,27.1907,-5.62,85,6,1.67,FI,2023-04-03
138,menongue,-14.6585,17.691,19.25,86,100,1.97,AO,2023-04-03
139,dalbandin,28.8947,64.4101,25.53,14,0,3.79,PK,2023-04-03
140,pimentel,-6.8367,-79.9342,25.16,94,100,1.03,PE,2023-04-03
141,cabo san lucas,22.8909,-109.9124,23.06,53,100,4.38,MX,2023-04-03
142,tasiilaq,65.6145,-37.6368,-1.91,90,100,2.94,GL,2023-04-03
143,shakhtinsk,49.71,72.5872,8.65,32,1,7.73,KZ,2023-04-03
144,bethel,41.3712,-73.414,0.92,58,0,0.0,US,2023-04-03
145,thompson,55.7435,-97.8558,-22.91,77,0,3.09,CA,2023-04-03
146,conde,-7.2597,-34.9075,23.7,94,0,2.06,BR,2023-04-03
147,lata,40.1629,-8.3327,7.26,56,100,1.28,PT,2023-04-03
148,geraldton,-28.7667,114.6,26.23,57,7,11.32,AU,2023-04-03
149,slonim,53.0867,25.3219,-0.39,68,100,7.28,BY,2023-04-03
150,constantine,36.365,6.6147,8.67,81,75,6.69,DZ,2023-04-03
151,sahbuz,39.4072,45.5739,11.78,59,89,1.89,AZ,2023-04-03
152,surt,31.2089,16.5887,15.67,57,0,8.48,LY,2023-04-03
153,bull savanna,17.8868,-77.5902,21.55,85,4,2.41,JM,2023-04-03
154,huarmey,-10.0681,-78.1522,25.18,81,100,2.05,PE,2023-04-03
155,pervomayskiy,53.2485,40.2871,9.65,63,99,4.27,RU,2023-04-03
156,hilo,19.7297,-155.09,22.38,96,100,6.17,US,2023-04-03
157,bredasdorp,-34.5322,20.0403,19.12,71,6,5.47,ZA,2023-04-03
158,leningradskiy,69.3833,178.4167,-22.98,94,100,3.72,RU,2023-04-03
159,ostersund,63.1792,14.6357,-6.75,73,0,1.03,SE,2023-04-03
160,abaza,52.655,90.0928,2.67,34,100,1.59,RU,2023-04-03
161,port moresby,-9.4431,147.1797,26.96,80,87,1.04,PG,2023-04-03
162,sao joao da barra,-21.6403,-41.0511,22.85,75,100,2.69,BR,2023-04-03
163,meulaboh,4.1363,96.1285,29.15,63,85,1.97,ID,2023-04-03
164,pangnirtung,66.1451,-65.7125,-18.38,63,100,3.14,CA,2023-04-03
165,te anau,-45.4167,167.7167,11.81,74,100,1.37,NZ,2023-04-03
166,husavik,66.0449,-17.3389,-2.1,82,100,5.24,IS,2023-04-03
167,waitati,-45.75,170.5667,12.11,72,13,2.33,NZ,2023-04-03
168,myronivka,49.6601,30.9823,6.26,94,100,3.85,UA,2023-04-03
169,akdepe,42.0551,59.3788,15.05,32,99,2.47,TM,2023-04-03
170,salisbury,51.0693,-1.7957,4.14,90,40,3.6,GB,2023-04-03
171,khatanga,71.9667,102.5,-15.66,90,100,4.99,RU,2023-04-03
172,pandan,14.0453,124.1694,27.46,78,47,5.6,PH,2023-04-03
173,junagarh,19.8667,82.9333,37.19,17,6,2.93,IN,2023-04-03
174,nikolskoye,59.7035,30.7861,-2.06,94,100,5.42,RU,2023-04-03
175,lerwick,60.1545,-1.1494,7.0,77,100,8.55,GB,2023-04-03
176,letlhakeng,-24.0944,25.0298,23.12,49,11,4.03,BW,2023-04-03
177,san quintin,30.4833,-115.95,12.63,91,31,6.73,MX,2023-04-03
178,padang,-0.9492,100.3543,29.03,68,40,2.68,ID,2023-04-03
179,riyadh,24.6877,46.7219,21.08,13,0,2.69,SA,2023-04-03
180,mpika,-11.8343,31.4529,16.55,98,100,0.6,ZM,2023-04-03
181,bowen,-20.0167,148.2333,26.16,83,18,5.46,AU,2023-04-03
182,suruc,36.9761,38.425,14.4,73,11,0.63,TR,2023-04-03
183,port blair,11.6667,92.75,31.02,62,40,3.6,IN,2023-04-03
